feature,mean_abs_shap
cat80,0.2139508668433547
cat101,0.10222753359568867
cont14,0.0601322868818262
cat2,0.06012977066043846
cat1,0.054319108536456905
cat81,0.054016294538227004
cat100,0.05263369460001795
cat79,0.04760608202787346
cont2,0.0460131220556328
cat5,0.045959406716010155
cat12,0.04519299408191022
cont7,0.04488979709371816
cat4,0.043302223032607605
cat72,0.04295390568322547
cat114,0.04112115600481396
cat103,0.04086964525317283
cat111,0.03546497371446657
cat53,0.026694483894457638
cat112,0.02341539789763127
cat6,0.02100309565751367
cat108,0.020641466551052718
cat87,0.018823121023905133
cat44,0.017416837805409206
cat57,0.016519336820393332
cat73,0.015341922073635075
cont3,0.015249308465451696
cont12,0.014892046249280788
cat38,0.014421103682760212
cat82,0.0134829801398791
cat26,0.012240948764500725
cat25,0.01052368401603442
cont11,0.009377615136760678
cont8,0.009337606453435255
cat91,0.008689141869210725
cat37,0.008341918503117758
cat27,0.008200871041384748
cat3,0.008180599776881705
cat36,0.0070097677285825616
cont4,0.0067801508400458154
cat95,0.006725148574989761
cat75,0.006026981777807975
cat113,0.006020154245408363
cat31,0.005595930718108207
cont1,0.005592784548611637
cat50,0.005571677876792644
cat109,0.005405690586729002
cat84,0.005258211377526838
cat13,0.0049000526599029225
cat116,0.004758842152274113
cont9,0.0046809729375415785
cat94,0.004580467242798705
cat83,0.004292105103646655
cat23,0.004056562230710351
cat49,0.0039928988113521234
cont13,0.0037876192647587773
cat8,0.003737895905672918
cat39,0.003700624381869114
cat11,0.0031952464058501062
cat9,0.002817825133704209
cat52,0.0027366349950755943
cat76,0.002486387331221692
cat7,0.002134187684272731
cont10,0.0021086415243374156
cat92,0.0016177294031423717
cat71,0.0015462760752555157
cat105,0.0015383333810899999
cat51,0.001213237694540093
cat96,0.0011026148814616426
cat42,0.0010836910633509745
cat110,0.0010800333878665802
cat77,0.0010769610817211964
cat88,0.0009950174042545818
cat93,0.0009783917393755693
cont6,0.0009380787044728683
cat65,0.000900937266750241
cont5,0.0008942220990073487
cat16,0.0008023449538164454
cat54,0.0007827866916208494
cat107,0.0007369515678146878
cat40,0.000655201350165312
cat32,0.0006273144861868516
cat67,0.0005221399581633788
cat41,0.0005029658122143664
cat28,0.0003691425198887868
cat115,0.000364983085767242
cat43,0.00036187047263307073
cat98,0.0003587551909587117
cat66,0.00033047910216200835
cat21,0.00033008572387231537
cat19,0.0002731574583980685
cat104,0.0002669487988712533
cat29,0.00021861724794503302
cat106,0.00020406930398654435
cat10,0.00019917913016459626
cat45,0.00011960654395903974
cat102,0.00011081594696383523
cat99,0.00010540607369838012
cat78,9.3809919579135e-05
cat74,6.797672036614337e-05
cat30,6.539146389675435e-05
cat24,5.707264893406551e-05
cat97,4.366199640237235e-05
cat59,3.554228507751403e-05
cat85,3.484831192391091e-05
cat48,3.327942944700812e-05
cat56,3.3266147452561205e-05
cat18,2.693031730887132e-05
cat22,6.556576985053216e-06
cat14,0.0
cat15,0.0
cat17,0.0
cat20,0.0
cat33,0.0
cat34,0.0
cat63,0.0
cat64,0.0
cat61,0.0
cat62,0.0
cat60,0.0
cat58,0.0
cat55,0.0
cat47,0.0
cat46,0.0
cat35,0.0
cat89,0.0
cat86,0.0
cat70,0.0
cat69,0.0
cat90,0.0
cat68,0.0
